day,posts,likes,views
2020-06-14,1,63,23688
2020-06-15,3,481,79300
2020-06-16,1,31,19727
2020-06-17,2,68,38652
2020-06-18,3,345,64228
2020-06-19,3,144,61718
2020-06-20,1,126,24914
2020-06-21,2,222,57383
2020-06-22,2,110,46537
2020-06-23,2,201,46272
2020-06-24,2,140,42670
2020-06-25,2,217,47244
2020-06-26,3,199,65930
2020-06-27,1,42,26126
2020-06-28,1,309,40514
2020-06-29,3,164,63118
2020-06-30,3,192,61414
2020-07-01,2,177,45664
2020-07-02,2,231,49871
2020-07-03,1,87,29650
2020-07-04,1,131,28508
2020-07-05,1,379,37298
2020-07-06,3,258,63572
2020-07-07,3,265,61911
2020-07-08,2,320,55190
2020-07-09,2,171,43656
2020-07-10,2,301,54031
2020-07-11,1,79,23749
2020-07-12,1,111,25431
2020-07-13,3,249,62971
2020-07-14,2,91,39971
2020-07-15,3,151,56270
2020-07-16,2,66,38634
2020-07-17,2,237,48558
2020-07-18,1,39,21004
2020-07-19,1,207,29946
2020-07-20,3,244,64608
2020-07-21,3,199,62995
2020-07-22,2,65,40500
2020-07-23,1,66,19170
2020-07-24,1,255,41961
2020-07-25,1,58,21594
2020-07-26,1,111,17690
2020-07-27,3,263,54030
2020-07-28,3,195,52649
2020-07-29,2,214,45208
2020-07-30,3,83,55105
2020-07-31,2,145,41854
2020-08-01,1,141,23581
2020-08-02,1,154,23007
2020-08-03,4,297,80410
2020-08-04,2,100,38357
2020-08-05,3,168,62656
2020-08-06,2,81,43010
2020-08-07,1,178,25837
2020-08-08,1,189,25713
2020-08-09,1,313,33346
2020-08-10,2,276,47835
2020-08-11,2,153,42407
2020-08-12,3,195,63205
